"Type","Date","Site","Age","LM","Taxon","Quantile_0.025","Quantile_0.25","Quantile_0.5","Quantile_0.75","Quantile_0.975"
"Salamander","2018-08-11","Ponds Lake","Age-2+","Metamorphosed","Uncertain",0.827641177692398,0.888012893213155,0.914339538551318,0.935712707903434,0.96556759260929
"Salamander","2018-08-18","Gibson Lakes","Age-0","Larvae/Neotene","Inhibitory",0.0319741620630052,0.0396566271601166,0.0440780400644478,0.0486177664155847,0.0590335448941894
"Salamander","2018-08-18","Gibson Lakes","Age-0","Larvae/Neotene","NonInhibitory",0.0158496107751418,0.0200278097862701,0.0225098129637515,0.0253580575072824,0.0318681319523804
"Salamander","2018-08-18","Gibson Lakes","Age-0","Larvae/Neotene","Uncertain",0.915734414694136,0.927751731832821,0.933151339568788,0.938313743056413,0.947292192372626
"Salamander","2018-08-25","Ponds Lake","Age-0","Larvae/Neotene","Inhibitory",0.0414178087695727,0.0523993149527092,0.0587784044709476,0.0661775872749658,0.0811755817458282
"Salamander","2018-08-25","Ponds Lake","Age-0","Larvae/Neotene","NonInhibitory",0.0155635920123072,0.0205358751886339,0.0236725808490916,0.0269389306579189,0.0342882546421353
"Salamander","2018-08-25","Ponds Lake","Age-0","Larvae/Neotene","Uncertain",0.891894730222,0.908880436348869,0.91723496990709,0.924766405096778,0.937129476013837
"Salamander","2018-09-01","Gibson Lakes","Age-0","Larvae/Neotene","Inhibitory",0.0300016748124068,0.0430796603790852,0.0505020661180612,0.0595711446767017,0.0779507064199756
"Salamander","2018-09-01","Gibson Lakes","Age-0","Larvae/Neotene","NonInhibitory",0.0150537410702271,0.0221320626594018,0.026685312583997,0.0315219347269031,0.0421552065065794
"Salamander","2018-09-01","Gibson Lakes","Age-0","Larvae/Neotene","Uncertain",0.892530328937595,0.911995136459069,0.921810080939367,0.931243790785091,0.947037581840342
"Salamander","2018-09-08","Ponds Lake","Age-0","Larvae/Neotene","Inhibitory",0.0507289409743722,0.0617258873545822,0.0687800401495249,0.0755783927352897,0.0889450654780635
"Salamander","2018-09-08","Ponds Lake","Age-0","Larvae/Neotene","NonInhibitory",0.0166673238046766,0.0214610352068878,0.0242949866800512,0.0275824673056344,0.0342115527177567
"Salamander","2018-09-08","Ponds Lake","Age-0","Larvae/Neotene","Uncertain",0.884187249940988,0.898857239217531,0.906915760341483,0.914109413002834,0.92743388915421
"Salamander","2018-09-15","Gibson Lakes","Age-0","Metamorphosed","Inhibitory",0.0633026482269547,0.112024131487097,0.141528846682673,0.174158897201088,0.244595815413611
"Salamander","2018-09-15","Gibson Lakes","Age-0","Metamorphosed","NonInhibitory",0.00976026774157722,0.0203365930396749,0.0292405184353373,0.0407784035107725,0.0692012595049982
"Salamander","2018-09-15","Gibson Lakes","Age-0","Metamorphosed","Uncertain",0.720459189331023,0.793698925953377,0.826982271058405,0.856702415778676,0.90708396664273
"Salamander","2018-09-22","Ponds Lake","Age-0","Larvae/Neotene","Inhibitory",0.0569038056318682,0.0750986547823234,0.0852494198284282,0.0969913616071985,0.120126190273558
"Salamander","2018-09-22","Ponds Lake","Age-0","Larvae/Neotene","NonInhibitory",0.0151754189229283,0.0219347878475259,0.0260800798432166,0.0306094863216066,0.0412856150892985
"Salamander","2018-09-22","Ponds Lake","Age-0","Larvae/Neotene","Uncertain",0.850644634853325,0.875692297420108,0.887953304264256,0.899471688693002,0.920043076444286
"Salamander","2018-09-22","Ponds Lake","Age-1","Larvae/Neotene","Inhibitory",0.0210483007115728,0.0544770101161055,0.0786711905140756,0.108656598873748,0.184013561398894
"Salamander","2018-09-22","Ponds Lake","Age-1","Larvae/Neotene","NonInhibitory",0.00504375136302264,0.0164130695911625,0.0257848498438663,0.0392847700025834,0.074899207092949
"Salamander","2018-09-22","Ponds Lake","Age-1","Larvae/Neotene","Uncertain",0.779382847173968,0.857900251939365,0.8913101091454,0.919477665681178,0.958027753270115
"Water","2018-06-16","Gibson Lakes",NA,NA,"Inhibitory",0.00269129785141036,0.00466394585593321,0.00623935231754572,0.00823626972831707,0.0132840457403934
"Water","2018-06-16","Gibson Lakes",NA,NA,"NonInhibitory",0.0085602139023418,0.0159368856483858,0.0217489691314182,0.0288150228566475,0.0450762166797933
"Water","2018-06-16","Gibson Lakes",NA,NA,"Uncertain",0.94654712310766,0.964242889343709,0.971500171696076,0.977653256857049,0.985615802671828
"Water","2018-06-23","Ponds Lake",NA,NA,"Inhibitory",0.00319400852836374,0.00537715323250464,0.00670962249823823,0.00862926494311244,0.0128724515844509
"Water","2018-06-23","Ponds Lake",NA,NA,"NonInhibitory",0.00212312859113505,0.00364805351942156,0.00468753711803865,0.00606741559603547,0.00936755732172836
"Water","2018-06-23","Ponds Lake",NA,NA,"Uncertain",0.98002556061617,0.985772191699551,0.988246990048276,0.990286305417514,0.993387097567625
"Water","2018-06-30","Gibson Lakes",NA,NA,"Inhibitory",0.00345059447200777,0.00524166343941527,0.00655833950495488,0.00812649346949759,0.0121259362861753
"Water","2018-06-30","Gibson Lakes",NA,NA,"NonInhibitory",0.00894704203492507,0.0138213045352419,0.017168198851333,0.0209544931831607,0.0293893169793802
"Water","2018-06-30","Gibson Lakes",NA,NA,"Uncertain",0.962028253920137,0.971708584029664,0.976095608018801,0.979866436909149,0.985490738487265
"Water","2018-07-07","Ponds Lake",NA,NA,"Inhibitory",0.00377124540294201,0.0057310425833092,0.00683071354134433,0.00820622687665808,0.0115477531358841
"Water","2018-07-07","Ponds Lake",NA,NA,"NonInhibitory",0.00347618718382995,0.00537750634821723,0.00655934951097111,0.00793856761436069,0.0113517644960115
