"Set","Model","Stratum","Age","LM","Site","Week1","Week2","Age:LM","Age:Site","LM:Site","Age:Week1","Age:Week2","LM:Week1","LM:Week2","Site:Week1","Site:Week2","Age:LM:Site","Age:LM:Week1","Age:LM:Week2","Age:Site:Week1","Age:Site:Week2","LM:Site:Week1","LM:Site:Week2","Age:LM:Site:Week1","Age:LM:Site:Week2","Num_Rhats_gt_1.05","Num_Eff_SS_ls_100","Num_params","Run_Time","WAIC"
"8","1",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1820,"3 hrs, 44 min, 1 sec",121351.343683402
"8","2",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1820,"3 hrs, 31 min, 49 sec",121315.542302151
"8","3",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1820,"3 hrs, 38 min, 10 sec",121292.341447201
"8","4",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1820,"3 hrs, 35 min, 38 sec",121300.52530485
"8","5",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1820,"3 hrs, 30 min, 40 sec",121324.032043186
"8","6",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1820,"3 hrs, 31 min, 27 sec",121366.238600946
"8","7",0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1820,"3 hrs, 34 min, 12 sec",121342.833674486
"8","8",0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1820,"3 hrs, 34 min, 27 sec",121325.364978423
"8","9",0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1820,"3 hrs, 28 min, 30 sec",121318.409521893
"8","10",0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1820,"3 hrs, 33 min, 22 sec",121295.570039983
"8","11",0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1820,"3 hrs, 31 min, 16 sec",121316.01875224
"8","12",0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1820,"3 hrs, 30 min, 28 sec",121320.399365227
"8","13",0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1820,"3 hrs, 36 min, 43 sec",121352.186421066
"8","14",0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1820,"3 hrs, 45 min, 29 sec",121340.720907527
"8","15",0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1820,"3 hrs, 31 min, 34 sec",121302.052553675
"8","16",0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1820,"3 hrs, 32 min, 23 sec",121382.022031763
"8","17",0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1820,"3 hrs, 33 min, 12 sec",121286.998130695
"8","18",0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1820,"3 hrs, 39 min, 11 sec",121336.210585111
"9","1",0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1719,"3 hrs, 21 min, 34 sec",121294.990906309
"9","2",0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1719,"3 hrs, 26 min, 44 sec",121297.978757621
"9","3",0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1719,"3 hrs, 31 min, 29 sec",121281.688048352
"9","4",0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1719,"3 hrs, 13 min, 7 sec",121275.952310825
"9","5",0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1719,"3 hrs, 22 min, 34 sec",121294.350016623
