"Type","Date","Site","Age","LM","Taxon","Quantile_0.025","Quantile_0.25","Quantile_0.5","Quantile_0.75","Quantile_0.975"
"Salamander","2018-08-18","Gibson Lakes","Age-0","Larvae/Neotene","NonInhibitory",0.0165382526351376,0.0188996932586075,0.0201775104116428,0.021467464522985,0.0244547352319055
"Salamander","2018-08-18","Gibson Lakes","Age-0","Larvae/Neotene","Inhibitory",0.0616317662269803,0.0695850540622189,0.0734506402297752,0.0775110159707987,0.0850220724830095
"Salamander","2018-08-18","Gibson Lakes","Age-0","Larvae/Neotene","Other",0.0356706200034036,0.040827252520592,0.0437837651663951,0.0467247522691722,0.0525324520003392
"Salamander","2018-08-25","Ponds Lake","Age-0","Larvae/Neotene","Uncertain",0.859622962776956,0.875737736113319,0.882748196439662,0.8905736434547,0.90678006730235
"Salamander","2018-08-25","Ponds Lake","Age-0","Larvae/Neotene","NonInhibitory",0.0124875298027319,0.0152736837684149,0.0166780531916727,0.0181289257752381,0.0211169144545659
"Salamander","2018-08-25","Ponds Lake","Age-0","Larvae/Neotene","Inhibitory",0.0565827109834338,0.0661147507353133,0.0711424369621846,0.0759556502450003,0.0871179177193833
"Salamander","2018-08-25","Ponds Lake","Age-0","Larvae/Neotene","Other",0.0221839256529403,0.0265202917318264,0.0290001478778917,0.0313615386741506,0.0361867060095913
"Salamander","2018-09-01","Gibson Lakes","Age-0","Larvae/Neotene","Uncertain",0.83083870193775,0.848372566902187,0.856725606563773,0.864227684175217,0.877563210133985
"Salamander","2018-09-01","Gibson Lakes","Age-0","Larvae/Neotene","NonInhibitory",0.0157410449915349,0.0188514441979081,0.0204555533227172,0.0222318113905961,0.0264459733021395
"Salamander","2018-09-01","Gibson Lakes","Age-0","Larvae/Neotene","Inhibitory",0.0651742873535018,0.0741328424584464,0.0793876613883831,0.0850669985464643,0.0969352178048574
"Salamander","2018-09-01","Gibson Lakes","Age-0","Larvae/Neotene","Other",0.0342613825064998,0.0400960145289221,0.043322439601269,0.0465261726057109,0.0536989542717234
"Salamander","2018-09-08","Ponds Lake","Age-0","Larvae/Neotene","Uncertain",0.851750411487577,0.867077065862798,0.874203432630861,0.882137290046962,0.898063674369878
"Salamander","2018-09-08","Ponds Lake","Age-0","Larvae/Neotene","NonInhibitory",0.0138033938539088,0.01663935059132,0.0180726978190865,0.0195513701119596,0.0224122005012947
"Salamander","2018-09-08","Ponds Lake","Age-0","Larvae/Neotene","Inhibitory",0.0635704701462868,0.0737302150120054,0.079033513941164,0.0841042708542911,0.0945791478260073
"Salamander","2018-09-08","Ponds Lake","Age-0","Larvae/Neotene","Other",0.0217245147540452,0.025904513701075,0.0282610386843094,0.0307522353108992,0.0357763943082448
"Salamander","2018-09-15","Gibson Lakes","Age-0","Metamorphosed","Uncertain",0.594543660300666,0.629567531910235,0.648188251452823,0.665271477863571,0.697074269439474
"Salamander","2018-09-15","Gibson Lakes","Age-0","Metamorphosed","NonInhibitory",0.0151112933285724,0.021148796497295,0.0247635877736978,0.0288983076631755,0.0373185686996584
"Salamander","2018-09-15","Gibson Lakes","Age-0","Metamorphosed","Inhibitory",0.0985703096788072,0.117699336265479,0.129558961034999,0.141976636764068,0.166011496520071
