"Taxon","ProbabilityOfBdInhibition"
"Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;_9",0.514
"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Fluviicola;_19",0.5136
"Bacteria;Proteobacteria;Gammaproteobacteria;_39",0.503
"Bacteria;Chloroflexi;Dehalococcoidia;vadinBA26;_6",0.509
"Bacteria;Latescibacterota;_147",0.5118
"Bacteria;Actinobacteriota;Thermoleophilia;_9",0.502
"Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;_67",0.4958
"Bacteria;_325",0.4956
"Bacteria;Patescibacteria;Parcubacteria;Candidatus_Campbellbacteria;_18",0.484
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Fimbriiglobus;_19",0.5072
"Bacteria;Patescibacteria;Gracilibacteria;Candidatus_Peribacteria;_8",0.4996
"Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;_11",0.4988
"Bacteria;Planctomycetota;Phycisphaerae;MSBL9;SG8-4;_52",0.4984
"Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter;_16",0.5062
"Bacteria;Chloroflexi;Dehalococcoidia;RBG-13-46-9;_24",0.498
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;_162",0.4898
"Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;_88",0.5008
"Bacteria;WPS-2;_25",0.5026
"Bacteria;NKB15;_4",0.4884
"Bacteria;Patescibacteria;Parcubacteria;_129",0.4888
"Bacteria;Elusimicrobiota;Lineage_IIa;_23",0.4944
"Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;_27",0.5094
"Bacteria;Armatimonadota;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae;_9",0.5112
"Bacteria;SAR324_clade(Marine_group_B);_6",0.4866
"Bacteria;Proteobacteria;Alphaproteobacteria;Elsterales;Elsteraceae;_8",0.5182
"Bacteria;NB1-j;_12",0.5006
"Bacteria;Dependentiae;Babeliae;Babeliales;_21",0.4962
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Fimbriiglobus;_20",0.5012
"Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;_68",0.498
"Bacteria;Fibrobacterota;Chitinivibrionia;Chitinivibrionales;Chitinivibrionaceae;possible_genus_03;_1",0.496
"Bacteria;Verrucomicrobiota;Omnitrophia;Omnitrophales;Omnitrophaceae;Candidatus_Omnitrophus;_130",0.4876
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Zavarzinella;_8",0.4974
"Bacteria;Patescibacteria;Parcubacteria;_130",0.5056
"Bacteria;Chloroflexi;OLB14;_16",0.496
"Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;_6",0.5016
"Bacteria;Bacteroidota;Kryptonia;Kryptoniales;BSV26;_122",0.5012
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_232",0.5124
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;_214",0.5098
"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_sensu_stricto_1;_15",0.4888
"Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Roseisolibacter;_3",0.5022
"Bacteria;Verrucomicrobiota;Omnitrophia;Omnitrophales;Omnitrophaceae;Candidatus_Omnitrophus;_131",0.4934
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis;Bauldia;_18",0.4908
"Bacteria;Proteobacteria;Gammaproteobacteria;Competibacterales;Competibacteraceae;Candidatus_Competibacter;_8",0.5092
"Bacteria;_326",0.4932
"Bacteria;_327",0.5072
"Bacteria;NB1-j;_13",0.5096
"Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;_86",0.5
"Bacteria;WOR-1;_38",0.497
"Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;_79",0.4974
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;MWH-Ta3;_2",0.4944
"Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02;_4",0.4976
"Bacteria;Armatimonadota;_53",0.4806
"Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Parachlamydiaceae;Neochlamydia;_18",0.4934
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Terrimicrobiaceae;Terrimicrobium;_16",0.49
"Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;_61",0.4932
"Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;_7",0.5018
"Bacteria;Acidobacteriota;Aminicenantia;Aminicenantales;_79",0.499
"Bacteria;Chloroflexi;Anaerolineae;RBG-13-54-9;_169",0.5086
"Bacteria;Desulfobacterota;_53",0.501
"Bacteria;Proteobacteria;Alphaproteobacteria;Reyranellales;Reyranellaceae;Reyranella;_13",0.5034
"Bacteria;Acidobacteriota;Blastocatellia;11-24;_10",0.497
"Bacteria;Verrucomicrobiota;Omnitrophia;Omnitrophales;Omnitrophaceae;Candidatus_Omnitrophus;_132",0.4984
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;_10",0.5016
"Bacteria;Acidobacteriota;Subgroup_11;_6",0.4958
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;_142",0.4916
"Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;_69",0.4984
"Bacteria;Acidobacteriota;Aminicenantia;Aminicenantales;_80",0.5098
"Bacteria;Proteobacteria;_27",0.5006
"Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales;_9",0.5032
"Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter;_35",0.5024
"Bacteria;Desulfobacterota;Desulfobaccia;Desulfobaccales;Desulfobaccaceae;Desulfobacca;_25",0.5006
"Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Sporomusaceae;_16",0.4934
"Bacteria;Armatimonadota;_54",0.5054
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Opitutaceae;Opitutus;_15",0.5006
"Bacteria;Proteobacteria;Alphaproteobacteria;Tistrellales;Geminicoccaceae;Candidatus_Alysiosphaera;_6",0.4986
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus;_14",0.4856
"Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;_70",0.4984
"Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseomonas;_17",0.5012
"Bacteria;Myxococcota;Myxococcia;Myxococcales;Anaeromyxobacteraceae;Anaeromyxobacter;_14",0.5064
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;_12",0.4896
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylorosula;polaris;_1",0.498
"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;env.OPS_17;_19",0.5096
"Bacteria;Chloroflexi;_54",0.494
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_322",0.5022
"Bacteria;_328",0.5056
"Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101_soil_group;_156",0.4992
"Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;M2PT2-76_termite_group;_3",0.5006
"Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes;_2",0.4992
"Bacteria;Chloroflexi;Anaerolineae;ADurb.Bin180;_16",0.4934
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;_143",0.4902
"Bacteria;Patescibacteria;Parcubacteria;_131",0.5068
"Bacteria;Chloroflexi;Anaerolineae;RBG-13-54-9;_170",0.4936
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_233",0.4992
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;_11",0.5016
"Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;_56",0.4938
"Bacteria;Cyanobacteria;Vampirivibrionia;Vampirovibrionales;_6",0.4942
"Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101_soil_group;_157",0.5036
"Bacteria;Hydrogenedentes;Hydrogenedentia;Hydrogenedentiales;Hydrogenedensaceae;YC-ZSS-LKJ63;_1",0.4956
"Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;_143",0.5022
"Bacteria;Chloroflexi;Anaerolineae;RBG-13-54-9;_171",0.4962
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;_144",0.497
"Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;_62",0.493
"Bacteria;Chloroflexi;Dehalococcoidia;Napoli-4B-65;_1",0.5032
"Bacteria;_329",0.4932
"Bacteria;Chloroflexi;Dehalococcoidia;S085;_23",0.5188
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;RBG-16-58-14;_49",0.4986
"Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;_71",0.5076
"Bacteria;Firmicutes;Bacilli;Thermoactinomycetales;Thermoactinomycetaceae;_2",0.5032
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylocystis;_12",0.4884
"Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_Incertae_Sedis;Unknown_Family;Acidibacter;_9",0.5016
"Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriae_or;Acidobacteriae_fa;Paludibaculum;_15",0.5118
"Bacteria;Chloroflexi;Anaerolineae;RBG-13-54-9;_172",0.4888
"Bacteria;Chloroflexi;JG30-KF-CM66;_24",0.5056
"Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Crossiella;_1",0.4982
"Bacteria;Proteobacteria;_28",0.4992
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;_163",0.4886
"Bacteria;Planctomycetota;Phycisphaerae;MSBL9;SG8-4;_53",0.5074
"Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Belnapia;_3",0.4962
"Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Sporobacter;_4",0.4996
"Bacteria;Planctomycetota;vadinHA49;_16",0.5078
"Bacteria;NB1-j;_14",0.5004
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;_164",0.5034
"Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;_29",0.4908
"Bacteria;Bacteroidota;_6",0.4936
"Bacteria;Firmicutes;Clostridia;_12",0.4908
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula;_36",0.4946
"Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;_10",0.498
"Bacteria;Cyanobacteria;Cyanobacteriia;_19",0.497
"Bacteria;Planctomycetota;Phycisphaerae;MSBL9;SG8-4;_54",0.491
"Bacteria;Sumerlaeota;Sumerlaeia;Sumerlaeales;Sumerlaeaceae;Sumerlaea;_14",0.5112
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;_215",0.4936
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sulfuricellaceae;Ferritrophicum;_4",0.4988
"Bacteria;Proteobacteria;Alphaproteobacteria;_69",0.5066
"Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Microcystaceae;_13",0.494
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;MND1;_9",0.5114
"Bacteria;Armatimonadota;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae;_10",0.4936
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;_216",0.5018
"Bacteria;Proteobacteria;_29",0.5098
"Bacteria;Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;_23",0.5038
"Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas;_5",0.4914
"Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales;_10",0.4998
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;_145",0.5102
"Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Rhodovastum;_8",0.4968
"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;_62",0.5022
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_323",0.496
"Bacteria;Fibrobacterota;Chitinivibrionia;_9",0.4896
"Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira;_16",0.4818
"Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Rhodovastum;_9",0.5108
"Bacteria;Firmicutes;_29",0.4994
"Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Conexibacter;_41",0.497
"Bacteria;Myxococcota;Myxococcia;Myxococcales;Anaeromyxobacteraceae;Anaeromyxobacter;_15",0.4944
"Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101_soil_group;_158",0.4912
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;_4",0.4962
"Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;_72",0.5014
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;_217",0.4898
"Bacteria;Proteobacteria;Gammaproteobacteria;_40",0.498
"Bacteria;_331",0.4942
"Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;_43",0.4934
"Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas;_6",0.5012
"Bacteria;Chloroflexi;Anaerolineae;RBG-13-54-9;_173",0.4948
"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_sensu_stricto_1;_16",0.504
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;S-BQ2-57_soil_group;_77",0.507
"Bacteria;Acidobacteriota;Subgroup_18;_122",0.4948
"Bacteria;Firmicutes;Clostridia;Clostridia_or;Hungateiclostridiaceae;_30",0.5008
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Pedomicrobium;_12",0.508
"Bacteria;Proteobacteria;Alphaproteobacteria;_70",0.494
"Bacteria;Planctomycetota;_42",0.4982
"Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Roseisolibacter;_4",0.5136
"Bacteria;Latescibacterota;_148",0.4888
"Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae;_13",0.5002
"Bacteria;Actinobacteriota;MB-A2-108;_48",0.509
"Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta;_65",0.5026
"Bacteria;Acidobacteriota;Acidobacteriae;AKIW659;_7",0.5022
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_324",0.5038
"Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;_63",0.4976
"Bacteria;Patescibacteria;Parcubacteria;_132",0.5168
"Bacteria;Latescibacterota;_149",0.5076
"Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Tundrisphaera;_8",0.4964
"Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Domibacillus;_1",0.4974
"Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;_1",0.4914
"Bacteria;Elusimicrobiota;Elusimicrobia;Lineage_IV;_13",0.5014
"Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;_28",0.4988
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Psychroglaciecola;_3",0.5098
"Bacteria;Chloroflexi;Anaerolineae;RBG-13-54-9;_174",0.4996
"Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae;Aquicella;_21",0.5008
"Bacteria;Proteobacteria;Alphaproteobacteria;_71",0.5028
"Bacteria;Proteobacteria;Gammaproteobacteria;_41",0.493
"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;_18",0.4918
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;_10",0.5136
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_325",0.4974
"Bacteria;WOR-1;_39",0.5018
"Bacteria;Margulisbacteria;_1",0.4972
"Bacteria;Proteobacteria;Gammaproteobacteria;Coxiellales;Coxiellaceae;Coxiella;_8",0.5138
"Bacteria;Bacteroidota;SJA-28;_20",0.49
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Methylacidiphilales;Methylacidiphilaceae;_35",0.5092
"Bacteria;Chloroflexi;KD4-96;_103",0.4936
"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;_7",0.5
"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;_63",0.5102
"Bacteria;Verrucomicrobiota;Chlamydiae;LD1-PA32;_6",0.501
"Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;_126",0.4986
"Bacteria;Myxococcota;Polyangia;Polyangiales;Phaselicystidaceae;Phaselicystis;_13",0.4982
"Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;_30",0.5056
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;_11",0.5086
"Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;_13",0.4998
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Hydrogenophilaceae;_8",0.4916
"Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;cvE6;_23",0.5022
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;_165",0.4892
"Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Runella;palustris;_1",0.496
"Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;_87",0.481
"Bacteria;_332",0.4982
"Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;JG30-KF-AS9;_1",0.5
"Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;_13",0.5056
"Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;_11",0.4884
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_326",0.4908
"Bacteria;Myxococcota;Polyangia;Polyangiales;Polyangiaceae;Pajaroellobacter;_42",0.5094
"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;_218",0.5012
"Bacteria;Fibrobacterota;Chitinivibrionia;_10",0.5156
"Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta;_66",0.4964
"Bacteria;Latescibacterota;_150",0.4932
"Bacteria;_334",0.5042
"Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;_127",0.5082
"Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;_5",0.4932
"Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;_128",0.507
"Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;_57",0.495
"Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41;_55",0.4948
"Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales;_11",0.5118
"Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;_22",0.511
"Bacteria;Actinobacteriota;Thermoleophilia;_10",0.492
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;LD29;_18",0.5016
"Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;_129",0.4978
"Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101_soil_group;_159",0.5016
"Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;_64",0.506
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;SC-I-84;_70",0.5066
"Bacteria;Latescibacterota;_151",0.4892
"Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Methylomonas;_9",0.5
"Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;_130",0.5044
"Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;_1",0.4946
"Bacteria;Chloroflexi;OLB14;_17",0.498
"Bacteria;Planctomycetota;Phycisphaerae;MSBL9;SG8-4;_55",0.5082
"Bacteria;Planctomycetota;Phycisphaerae;S-70;_5",0.5074
"Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;_4",0.4932
"Bacteria;Planctomycetota;Phycisphaerae;MSBL9;SG8-4;_56",0.4958
"Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;_41",0.4912
"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Budviciaceae;_1",0.4938
"Bacteria;Actinobacteriota;Coriobacteriia;OPB41;_35",0.5064
"Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Smithellaceae;Smithella;_25",0.5028
"Bacteria;_336",0.5088
"Bacteria;WPS-2;_26",0.5078
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Pseudolabrys;_16",0.493
"Bacteria;_337",0.5018
"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;Lentimicrobium;_3",0.5004
"Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Terrimonas;_5",0.4988
"Bacteria;SAR324_clade(Marine_group_B);_7",0.5038
"Bacteria;Verrucomicrobiota;Omnitrophia;Omnitrophales;_15",0.4916
"Bacteria;Myxococcota;Polyangia;Polyangiales;Polyangiaceae;Pajaroellobacter;_43",0.5038
"Bacteria;Planctomycetota;Phycisphaerae;DG-20;_11",0.4978
"Bacteria;Verrucomicrobiota;Omnitrophia;Omnitrophales;_16",0.4958
"Bacteria;Elusimicrobiota;Lineage_IIa;_24",0.501
"Bacteria;Proteobacteria;Alphaproteobacteria;_72",0.5048
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;ADurb.Bin063-1;_24",0.5008
"Bacteria;_338",0.507
"Bacteria;_339",0.4948
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_234",0.495
"Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;_29",0.5032
"Bacteria;Armatimonadota;Chthonomonadetes;Chthonomonadales;Chthonomonadaceae;Chthonomonas;_9",0.485
"Bacteria;Chloroflexi;KD4-96;_104",0.503
"Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae;Aquicella;_22",0.5006
"Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;_144",0.4972
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;_16",0.5052
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;_166",0.504
"Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;YB-42;_2",0.5022
"Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup_17;_45",0.508
"Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;_7",0.4954
"Bacteria;Proteobacteria;Alphaproteobacteria;Azospirillales;Inquilinaceae;Inquilinus;_3",0.4932
"Bacteria;Chloroflexi;Dehalococcoidia;Dehalococcoidales;_33",0.4882
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Pseudolabrys;_17",0.4946
"Bacteria;Patescibacteria;Parcubacteria;_133",0.4902
"Bacteria;Acidobacteriota;Aminicenantia;Aminicenantales;_81",0.4922
"Bacteria;Nitrospirota;Thermodesulfovibrionia;_39",0.4952
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;_146",0.4882
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Gemmata;_35",0.5028
"Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;cvE6;_24",0.4962
"Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101_soil_group;_160",0.498
"Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Parachlamydiaceae;Neochlamydia;_19",0.5014
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;_2",0.4968
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_327",0.495
"Bacteria;Patescibacteria;Parcubacteria;Candidatus_Zambryskibacteria;_16",0.4968
"Bacteria;Actinobacteriota;MB-A2-108;_49",0.5048
"Bacteria;Verrucomicrobiota;Omnitrophia;Omnitrophales;Omnitrophaceae;Candidatus_Omnitrophus;_133",0.5012
"Bacteria;_340",0.502
"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;_3",0.5056
"Bacteria;Chloroflexi;Anaerolineae;SBR1031;_153",0.4992
"Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;_147",0.4976
"Bacteria;Verrucomicrobiota;Omnitrophia;Omnitrophales;Omnitrophaceae;Candidatus_Omnitrophus;_134",0.492
"Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Caproiciproducens;_3",0.4906
"Bacteria;_341",0.5082
"Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;_73",0.5032
"Bacteria;Planctomycetota;_43",0.4964
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis;Phreatobacter;_9",0.4946
"Bacteria;Sva0485;_108",0.5014
"Bacteria;Patescibacteria;Parcubacteria;Candidatus_Jorgensenbacteria;_1",0.493
"Bacteria;Actinobacteriota;Coriobacteriia;OPB41;_36",0.4944
"Bacteria;Planctomycetota;vadinHA49;_17",0.4984
"Bacteria;_342",0.5042
"Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Segetibacter;_2",0.4798
"Bacteria;Planctomycetota;Pla3_lineage;_23",0.5106
"Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;_16",0.5102
"Bacteria;Proteobacteria;Gammaproteobacteria;CCM19a;_4",0.5014
"Bacteria;Chloroflexi;Anaerolineae;SBR1031;_154",0.4956
"Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;_65",0.5108
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;_20",0.5092
