"Taxon","ProbabilityOfBdInhibition"
"Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;37-13;_1",0.5136
"Bacteria;Chloroflexi;KD4-96;_1",0.4908
"Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Cyanobium_PCC-6307;_1",0.4904
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;_1",0.5162
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylocystis;_3",0.5042
"Bacteria;Proteobacteria;Gammaproteobacteria;_1",0.5012
"Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;_3",0.4982
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;hgcI_clade;_9",0.502
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;foliorum;_1",0.4984
"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;NS11-12_marine_group;_1",0.4926
"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;_8",0.5056
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Candidatus_Planktoluna;_4",0.5158
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Terrimicrobiaceae;FukuN18_freshwater_group;_8",0.5098
"Bacteria;Acidobacteriota;Aminicenantia;Aminicenantales;_1",0.487
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;_1",0.4926
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Terrimicrobiaceae;FukuN18_freshwater_group;_9",0.5024
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;_1",0.516
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;_2",0.4948
"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;_10",0.4974
"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Fluviicola;_5",0.4974
"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Porphyrobacter;_1",0.507
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;966-1;_3",0.5134
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;GKS98_freshwater_group;_3",0.5084
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium;_1",0.4928
"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Solitalea;_1",0.509
"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;_11",0.5056
"Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Parachlamydiaceae;_1",0.4986
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodomicrobiaceae;Rhodomicrobium;_3",0.4996
"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;_1",0.5132
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;RBG-16-58-14;_3",0.5042
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;Candidatus_Methylopumilus;_3",0.5028
"Bacteria;Acidobacteriota;Blastocatellia;11-24;_1",0.518
"Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Aquisphaera;_3",0.508
"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sandarakinorhabdus;limnophila;_1",0.502
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_1",0.4872
"Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;_1",0.4948
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_3",0.9992
"Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;_1",0.5082
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_2",0.5036
"Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;JG30a-KF-32;_1",0.5
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;Methylophilus;_1",0.4934
